url,text,emails_found
https://marymakesgood.com/2018/02/eight-fantastic-places-to-take-cooking-classes-in-austin-texas.html,"Where to Take Cooking Classes in Austin, Texas » Mary ...https://marymakesgood.com › Travel › Austin Texas",
https://www.austinchronicle.com/food/2019-08-30/16-austin-cooking-classes-to-spice-up-your-kitchen/,16 Austin Cooking Classes to Spice Up Your Kitchen: Brush ...https://www.austinchronicle.com › food › 16-austin-co...,food@austinchronicle.com
https://www.fearlesscaptivations.com/take-a-culinary-class-in-austin-texas/,Best Culinary and Cooking Classes in Austin - 2021 City Guidehttps://www.fearlesscaptivations.com › take-a-culinary-...,
https://www.gatherandforge.com/cooking-lessons,Private Home Cooking Lessons in Austin | Gather and Forgehttps://www.gatherandforge.com › cooking-lessons,Gatherandforge@gmail.com
https://www.cozymeal.com/austin/cooking-classes/vegan,Vegan (4),
https://www.cozymeal.com/austin/cooking-classes/italian,Italian (21),
https://www.cozymeal.com/austin/cooking-classes/beginner,Beginner (9),
https://www.cozymeal.com/austin/cooking-classes/date-night,Date Night (54),
https://www.cozymeal.com/cooking-class/10767/journey-through-brazil,Journey Through Brazil,
https://www.thespruceeats.com/best-austin-cooking-classes-4788272,The 8 Best Austin Cooking Classes of 2021 - The Spruce Eatshttps://www.thespruceeats.com › best-austin-cooking-cl...,
https://fredaskitchen.com/,Website,
https://www.eastaustinculinarystudio.com/,Website,info@eastaustinculinarystudio.com wixofday@wix.com wixofday@wix.com
